title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,8.0,188156.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Amores Perros,movie,"Drama, Thriller",2000.0,8.0,258286.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",8.444444444444445,High
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,738417.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, FR, GF, GT, HN, IT, JM, LC, MX, NI, PA, PE, PF, PY, SM, SV, TC, TT, UY, VE",8.444444444444445,High
Memento,movie,"Mystery, Thriller",2000.0,8.4,1359677.0,KR,8.444444444444445,High
American History X,movie,"Crime, Drama",1998.0,8.5,1217153.0,"AD, ES, PT",8.444444444444445,High
Before Sunset,movie,"Drama, Romance",2004.0,8.1,297697.0,KR,8.444444444444445,High
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,8.2,1231926.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TR, TZ, UA, UG, YE, ZA, ZM, ZW",8.444444444444445,High
La La Land,movie,"Comedy, Drama, Music",2016.0,8.0,704507.0,"AT, CH, DE, ID, IT, KR, SM, TH, TW",8.444444444444445,High
Joker,movie,"Crime, Drama, Thriller",2019.0,8.3,1576944.0,"AD, AU, BA, BE, BG, CH, CY, CZ, DK, ES, FI, FJ, FR, GF, GR, HR, HU, IT, LU, MC, MD, ME, MK, NO, NZ, PF, PL, PT, RO, RS, SE, SI, SK, SM",8.444444444444445,High
Dune: Part Two,movie,"Action, Adventure, Drama",2024.0,8.5,580231.0,"AU, JP, US",8.444444444444445,High
Wild Tales,movie,"Comedy, Drama, Thriller",2014.0,8.1,224467.0,"AU, NZ",8.444444444444445,High
Room,movie,"Drama, Thriller",2015.0,8.1,462813.0,"AD, BE, CA, FR, GF, LU, MC, NL, PF",8.444444444444445,High
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004.0,8.0,827649.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW",8.444444444444445,High
Das Boot,movie,"Drama, War",1981.0,8.4,274577.0,"BE, DK, FI, LU, MT, NL, NO, SE",8.444444444444445,High
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,8.2,1101518.0,CA,8.444444444444445,High
Casino,movie,"Crime, Drama",1995.0,8.2,582579.0,"AU, IL, JP, KR, NZ",8.444444444444445,High
One Flew Over the Cuckoo's Nest,movie,Drama,1975.0,8.7,1102920.0,"BA, ME, MK, RS",8.444444444444445,High
Warrior,movie,"Action, Drama, Sport",2011.0,8.1,509184.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",8.444444444444445,High
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,8.0,871846.0,TW,8.444444444444445,High
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,8.0,705379.0,"AD, AT, BE, CH, DE, DZ, FR, GF, IL, LI, LU, MA, MC, MU, PF, PL, TN, TR",8.444444444444445,High
Spirited Away,movie,"Adventure, Animation, Family",2001.0,8.6,890031.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,8.3,451552.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
The Dark Knight Rises,movie,"Action, Drama, Thriller",2012.0,8.4,1886338.0,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM",8.444444444444445,High
There Will Be Blood,movie,Drama,2007.0,8.2,660484.0,PS,8.444444444444445,High
The Hunt,movie,Drama,2012.0,8.3,380564.0,"DK, FI, NO, SE",8.444444444444445,High
Howl's Moving Castle,movie,"Adventure, Animation, Family",2004.0,8.2,472298.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
